dataset,method,query_id,k,matches,elapsed_ms,status,ts
sentiment,sed_plain_topdiff_within,69,30,86,248.308,ok,2026-07-15T19:57:44+02:00
sentiment,sed_plain_topdiff_within,70,30,94,226.816,ok,2026-07-15T19:57:44+02:00
sentiment,sed_plain_topdiff_within,71,31,104,221.049,ok,2026-07-15T19:57:44+02:00
sentiment,sed_plain_topdiff_within,72,30,112,263.907,ok,2026-07-15T19:57:45+02:00
sentiment,sed_plain_topdiff_within,73,30,80,206.971,ok,2026-07-15T19:57:45+02:00
sentiment,sed_plain_topdiff_within,74,30,96,248.445,ok,2026-07-15T19:57:45+02:00
sentiment,sed_plain_topdiff_within,75,31,71,245.845,ok,2026-07-15T19:57:45+02:00
sentiment,sed_plain_topdiff_within,76,31,101,202.698,ok,2026-07-15T19:57:46+02:00
sentiment,sed_plain_topdiff_within,77,30,60,226.789,ok,2026-07-15T19:57:46+02:00
sentiment,sed_plain_topdiff_within,78,30,147,308.872,ok,2026-07-15T19:57:46+02:00
sentiment,sed_plain_topdiff_within,79,30,127,289.658,ok,2026-07-15T19:57:46+02:00
sentiment,sed_plain_topdiff_within,80,30,76,209.285,ok,2026-07-15T19:57:47+02:00
sentiment,sed_plain_topdiff_within,81,29,68,193.016,ok,2026-07-15T19:57:47+02:00
sentiment,sed_plain_topdiff_within,82,30,103,219.042,ok,2026-07-15T19:57:47+02:00
sentiment,sed_plain_topdiff_within,83,30,67,220.637,ok,2026-07-15T19:57:47+02:00
sentiment,sed_plain_topdiff_within,84,30,95,214.494,ok,2026-07-15T19:57:48+02:00
sentiment,sed_plain_topdiff_within,85,30,86,177.095,ok,2026-07-15T19:57:48+02:00
sentiment,sed_plain_topdiff_within,86,30,100,195.080,ok,2026-07-15T19:57:48+02:00
sentiment,sed_plain_topdiff_within,87,31,183,266.241,ok,2026-07-15T19:57:48+02:00
sentiment,sed_plain_topdiff_within,88,30,111,249.117,ok,2026-07-15T19:57:49+02:00
sentiment,sed_plain_topdiff_within,89,30,111,245.307,ok,2026-07-15T19:57:49+02:00
sentiment,sed_plain_topdiff_within,90,30,79,224.954,ok,2026-07-15T19:57:49+02:00
sentiment,sed_plain_topdiff_within,91,30,96,254.954,ok,2026-07-15T19:57:49+02:00
sentiment,sed_plain_topdiff_within,92,30,71,209.322,ok,2026-07-15T19:57:50+02:00
sentiment,sed_plain_topdiff_within,93,30,82,230.652,ok,2026-07-15T19:57:50+02:00
sentiment,sed_plain_topdiff_within,94,29,74,185.991,ok,2026-07-15T19:57:50+02:00
sentiment,sed_plain_topdiff_within,95,30,139,285.566,ok,2026-07-15T19:57:50+02:00
sentiment,sed_plain_topdiff_within,96,30,74,235.226,ok,2026-07-15T19:57:51+02:00
sentiment,sed_plain_topdiff_within,97,30,79,223.030,ok,2026-07-15T19:57:51+02:00
sentiment,sed_plain_topdiff_within,98,30,76,178.344,ok,2026-07-15T19:57:51+02:00
sentiment,sed_plain_topdiff_within,99,30,157,258.357,ok,2026-07-15T19:57:51+02:00
sentiment,structural_topdiff_within,0,30,126,619.286,ok,2026-07-15T19:57:52+02:00
sentiment,structural_topdiff_within,1,30,196,724.865,ok,2026-07-15T19:57:52+02:00
sentiment,structural_topdiff_within,2,30,122,597.370,ok,2026-07-15T19:57:53+02:00
sentiment,structural_topdiff_within,3,29,88,549.690,ok,2026-07-15T19:57:54+02:00
sentiment,structural_topdiff_within,4,30,192,667.118,ok,2026-07-15T19:57:54+02:00
sentiment,structural_topdiff_within,5,30,105,512.808,ok,2026-07-15T19:57:55+02:00
sentiment,structural_topdiff_within,6,30,150,665.023,ok,2026-07-15T19:57:55+02:00
sentiment,structural_topdiff_within,7,30,123,676.553,ok,2026-07-15T19:57:56+02:00
sentiment,structural_topdiff_within,8,30,102,602.024,ok,2026-07-15T19:57:57+02:00
sentiment,structural_topdiff_within,9,29,88,504.174,ok,2026-07-15T19:57:57+02:00
sentiment,structural_topdiff_within,10,30,125,812.386,ok,2026-07-15T19:57:58+02:00
sentiment,structural_topdiff_within,11,30,118,537.046,ok,2026-07-15T19:57:59+02:00
sentiment,structural_topdiff_within,12,29,83,647.680,ok,2026-07-15T19:57:59+02:00
sentiment,structural_topdiff_within,13,29,72,490.267,ok,2026-07-15T19:58:00+02:00
sentiment,structural_topdiff_within,14,30,106,548.148,ok,2026-07-15T19:58:01+02:00
sentiment,structural_topdiff_within,15,30,167,676.981,ok,2026-07-15T19:58:01+02:00
sentiment,structural_topdiff_within,16,30,186,594.105,ok,2026-07-15T19:58:02+02:00
